chrom	win.start	normalized	segmented	CN
chr1	11000	-0.137	-0.2107	2
chr1	11200	-0.2956	-0.2107	2
chr1	11400	-0.2858	-0.2107	2
chr1	11600	-0.4431	-0.2107	2
chr1	11800	-0.218	-0.2107	2
chr1	12000	-0.3506	-0.2107	2
chr1	12200	-0.3403	-0.2107	2
chr1	12400	-0.2582	-0.2107	2
chr1	12600	-0.1546	-0.2107	2
chr1	12800	-0.1503	-0.2107	2
chr1	13000	-1.2772	-0.2107	2
chr1	13200	NA	NA	NA
chr1	13400	NA	NA	NA
chr1	13600	-0.7787	-0.2107	2
chr1	13800	-0.3295	-0.2107	2
chr1	14000	-0.4494	-0.2107	2
chr1	14200	-0.4893	-0.2107	2
chr1	14400	-0.3564	-0.2107	2
chr1	14600	-0.3354	-0.2107	2
chr1	14800	-0.3604	-0.2107	2
chr1	15000	-0.1702	-0.2107	2
chr1	15200	-0.2034	-0.2107	2
chr1	15400	-0.3413	-0.2107	2
chr1	15600	-0.2248	-0.2107	2
chr1	15800	-0.1976	-0.2107	2
chr1	16000	-0.2775	-0.2107	2
chr1	16200	-0.2731	-0.2107	2
chr1	16400	-0.1579	-0.2107	2
chr1	16600	-0.0318	-0.2107	2
chr1	16800	2.6279	-0.2107	2
chr1	17000	0.2267	0.37745	3
chr1	17200	0.5282	0.37745	3
chr1	17400	-0.1451	-0.2783	2
chr1	17600	-0.2226	-0.2783	2
chr1	17800	-0.2731	-0.2783	2
chr1	18000	-0.2497	-0.2783	2
chr1	18200	-0.3455	-0.2783	2
chr1	18400	-0.4833	-0.2783	2
chr1	18600	-0.3818	-0.2783	2
chr1	18800	-0.4377	-0.2783	2
chr1	19000	-0.3364	-0.2783	2
chr1	19200	-0.1966	-0.2783	2
chr1	19400	-0.072	-0.2783	2
chr1	19600	-0.2783	-0.2783	2
chr1	19800	-0.3141	-0.2783	2
chr1	20000	0.059	0.3904	3
chr1	20200	0.3196	0.3904	3
chr1	20400	0.3904	0.3904	3
chr1	20600	0.2047	0.3904	3
chr1	20800	0.482	0.3904	3
chr1	21000	0.3838	0.3904	3
chr1	21200	0.5285	0.3904	3
chr1	21400	0.6022	0.3904	3
chr1	21600	0.7382	0.3904	3
chr1	21800	0.2265	0.3904	3
chr1	22000	0.4472	0.3904	3
chr1	22200	0.4693	0.3904	3
chr1	22400	0.3269	0.3904	3
chr1	22600	0.4864	0.3904	3
chr1	22800	0.3612	0.3904	3
chr1	23000	0.3028	0.3904	3
chr1	23200	0.4103	0.3904	3
chr1	23400	-0.1083	-0.23165	2
chr1	23600	-0.1995	-0.23165	2
chr1	23800	-0.3037	-0.23165	2
chr1	24000	-0.2232	-0.23165	2
chr1	24200	-0.6676	-0.23165	2
chr1	24400	-0.2584	-0.23165	2
chr1	24600	-0.0905	-0.23165	2
chr1	24800	-0.1683	-0.23165	2
chr1	25000	-0.0268	-0.23165	2
chr1	25200	-0.4477	-0.23165	2
chr1	25400	-0.414	-0.23165	2
chr1	25600	-0.4465	-0.23165	2
chr1	25800	-0.1878	-0.23165	2
chr1	26000	-0.3798	-0.23165	2
chr1	26200	-0.2261	-0.23165	2
chr1	26400	-0.3384	-0.23165	2
chr1	26600	-0.1997	-0.23165	2
chr1	26800	-0.1373	-0.23165	2
chr1	27000	-0.1774	-0.23165	2
chr1	27200	-0.1415	-0.23165	2
chr1	27400	-0.0265	-0.23165	2
chr1	27600	-0.2885	-0.23165	2
chr1	27800	-0.2484	-0.23165	2
chr1	28000	-0.1806	-0.23165	2
chr1	28200	-0.1845	-0.23165	2
chr1	28400	-0.2142	-0.23165	2
chr1	28600	-0.2457	-0.23165	2
chr1	28800	-0.0207	-0.23165	2
chr1	29000	-0.0057	-0.23165	2
chr1	29200	-0.0382	-0.23165	2
chr1	29400	-0.2768	-0.23165	2
chr1	29600	-0.2358	-0.23165	2
chr1	29800	-1.996	-0.23165	2
chr1	30000	-0.8074	-0.23165	2
chr1	30200	-0.5121	-0.23165	2
chr1	30400	-0.4685	-0.23165	2
chr1	30600	-0.464	-0.23165	2
chr1	30800	-0.3355	-0.23165	2
chr1	31000	-0.3015	-0.23165	2
chr1	31200	-0.3622	-0.23165	2
chr1	31400	-0.2691	-0.23165	2
chr1	31600	-0.0904	-0.23165	2
chr1	31800	-0.0861	-0.23165	2
chr1	32000	-0.3048	-0.23165	2
chr1	32200	-0.1598	-0.23165	2
chr1	32400	-0.1134	-0.23165	2
chr1	32600	-0.0062	-0.23165	2
chr1	32800	-0.0745	-0.23165	2
chr1	33000	-0.0873	-0.23165	2
chr1	33200	-0.0984	-0.23165	2
chr1	33400	-0.1673	-0.23165	2
chr1	33600	-0.3584	-0.23165	2
chr1	33800	-0.3238	-0.23165	2
chr1	34000	-0.2661	-0.23165	2
chr1	34200	-0.2804	-0.23165	2
chr1	34400	-0.4042	-0.23165	2
chr1	34600	-0.3891	-0.23165	2
chr1	34800	-0.2516	-0.23165	2
chr1	35000	-0.2402	-0.23165	2
chr1	35200	-0.3402	-0.23165	2
chr1	35400	-0.2744	-0.23165	2
chr1	35600	-0.1443	-0.23165	2
chr1	35800	-0.0741	-0.23165	2
chr1	36000	-0.1892	-0.23165	2
chr1	36200	-0.0659	-0.23165	2
chr1	36400	-0.2894	-0.23165	2
chr1	36600	-0.1205	-0.23165	2
chr1	36800	-0.2833	-0.23165	2
chr1	37000	-0.3578	-0.23165	2
chr1	37200	-0.4207	-0.23165	2
chr1	37400	-0.4165	-0.23165	2
chr1	37600	-0.5693	-0.23165	2
chr1	37800	-0.4576	-0.23165	2
chr1	38000	-0.0393	-0.23165	2
chr1	38200	-0.2278	-0.23165	2
chr1	38400	-0.3381	-0.23165	2
chr1	38600	-0.3849	-0.23165	2
chr1	38800	-0.358	-0.23165	2
chr1	39000	-0.2891	-0.23165	2
chr1	39200	-0.3167	-0.23165	2
chr1	39400	-0.2245	-0.23165	2
chr1	39600	-0.095	-0.23165	2
chr1	39800	-0.2656	-0.23165	2
chr1	40000	-0.3582	-0.23165	2
chr1	40200	-0.1681	-0.23165	2
chr1	40400	-0.1893	-0.23165	2
chr1	40600	-0.3854	-0.23165	2
chr1	40800	-0.0839	-0.23165	2
chr1	41000	-0.3028	-0.23165	2
chr1	41200	-0.2049	-0.23165	2
chr1	41400	-0.2499	-0.23165	2
chr1	41600	-0.1034	-0.23165	2
chr1	41800	-0.3295	-0.23165	2
chr1	42000	-0.3212	-0.23165	2
chr1	42200	-0.2505	-0.23165	2
chr1	42400	-0.198	-0.23165	2
chr1	42600	-0.1982	-0.23165	2
chr1	42800	-0.377	-0.23165	2
chr1	43000	-0.1982	-0.23165	2
chr1	43200	-0.2964	-0.23165	2
chr1	43400	-0.295	-0.23165	2
chr1	43600	-0.2284	-0.23165	2
chr1	43800	-0.0722	-0.23165	2
chr1	44000	-0.2131	-0.23165	2
chr1	44200	-0.1845	-0.23165	2
chr1	44400	-0.3491	-0.23165	2
chr1	44600	-0.3493	-0.23165	2
chr1	44800	-0.3878	-0.23165	2
chr1	45000	-0.1076	-0.23165	2
chr1	45200	-0.0608	-0.23165	2
chr1	45400	-0.1319	-0.23165	2
chr1	45600	-0.2311	-0.23165	2
chr1	45800	-0.1471	-0.23165	2
chr1	46000	-0.0588	-0.23165	2
chr1	46200	-0.1075	-0.23165	2
chr1	46400	-0.1244	-0.23165	2
chr1	46600	-0.2427	-0.23165	2
chr1	46800	-0.2227	-0.23165	2
chr1	47000	-0.2064	-0.23165	2
chr1	47200	-0.0758	-0.23165	2
chr1	47400	0.0859	-0.23165	2
chr1	47600	-0.1901	-0.23165	2
chr1	47800	-0.2322	-0.23165	2
chr1	48000	-0.5163	-0.23165	2
chr1	48200	0.1409	0.2223	3
chr1	48400	0.4153	0.2223	3
chr1	48600	0.2226	0.2223	3
chr1	48800	0.0556	0.2223	3
chr1	49000	0.2223	0.2223	3
chr1	49200	0.1719	0.2223	3
chr1	49400	0.2072	0.2223	3
chr1	49600	0.2084	0.2223	3
chr1	49800	0.1574	0.2223	3
chr1	50000	0.1905	0.2223	3
chr1	50200	0.2131	0.2223	3
chr1	50400	0.4667	0.2223	3
chr1	50600	0.4047	0.2223	3
chr1	50800	0.2583	0.2223	3
chr1	51000	0.4653	0.2223	3
chr1	51200	0.4777	0.2223	3
chr1	51400	0.3681	0.2223	3
chr1	51600	0.2558	0.2223	3
chr1	51800	0.0053	0.2223	3
chr1	52000	-0.1509	-0.3493	2
chr1	52200	-0.2818	-0.3493	2
chr1	52400	-0.175	-0.3493	2
chr1	52600	-0.2911	-0.3493	2
chr1	52800	-0.3838	-0.3493	2
chr1	53000	-0.1749	-0.3493	2
chr1	53200	-0.5473	-0.3493	2
chr1	53400	-0.6431	-0.3493	2
chr1	53600	-0.1682	-0.3493	2
chr1	53800	-0.4548	-0.3493	2
chr1	54000	-0.3571	-0.3493	2
chr1	54200	-0.1851	-0.3493	2
chr1	54400	-0.4512	-0.3493	2
chr1	54600	-0.3379	-0.3493	2
chr1	54800	-0.1533	-0.3493	2
chr1	55000	-0.4066	-0.3493	2
chr1	55200	-0.3131	-0.3493	2
chr1	55400	-0.3247	-0.3493	2
chr1	55600	-0.4538	-0.3493	2
chr1	55800	-0.4455	-0.3493	2
chr1	56000	-0.4473	-0.3493	2
chr1	56200	-0.3649	-0.3493	2
chr1	56400	-0.139	-0.3493	2
chr1	56600	-0.4556	-0.3493	2
chr1	56800	-0.5279	-0.3493	2
chr1	57000	-0.4639	-0.3493	2
chr1	57200	-0.4243	-0.3493	2
chr1	57400	-0.4243	-0.3493	2
chr1	57600	-0.4699	-0.3493	2
chr1	57800	-0.661	-0.3493	2
chr1	58000	-0.4042	-0.3493	2
chr1	58200	-0.4958	-0.3493	2
chr1	58400	-0.4404	-0.3493	2
chr1	58600	-0.4608	-0.3493	2
chr1	58800	-0.3926	-0.3493	2
chr1	59000	-0.2161	-0.3493	2
chr1	59200	-0.285	-0.3493	2
chr1	59400	-0.365	-0.3493	2
chr1	59600	-0.3831	-0.3493	2
chr1	59800	-0.2273	-0.3493	2
chr1	60000	-0.2528	-0.3493	2
chr1	60200	-0.4517	-0.3493	2
chr1	60400	-0.4324	-0.3493	2
chr1	60600	-0.2854	-0.3493	2
chr1	60800	-0.2841	-0.3493	2
chr1	61000	-0.3704	-0.3493	2
chr1	61200	-0.2741	-0.3493	2
chr1	61400	-0.3454	-0.3493	2
chr1	61600	-0.3879	-0.3493	2
chr1	61800	-0.3097	-0.3493	2
chr1	62000	-0.297	-0.3493	2
chr1	62200	-0.2112	-0.3493	2
chr1	62400	-0.3318	-0.3493	2
chr1	62600	-0.2733	-0.3493	2
chr1	62800	-0.3716	-0.3493	2
chr1	63000	-0.2854	-0.3493	2
chr1	63200	-0.3658	-0.3493	2
chr1	63400	-0.5721	-0.3493	2
chr1	63600	-0.4174	-0.3493	2
chr1	63800	-0.4077	-0.3493	2
chr1	64000	-0.3125	-0.3493	2
chr1	64200	-0.3815	-0.3493	2
chr1	64400	-0.2884	-0.3493	2
chr1	64600	-0.3471	-0.3493	2
chr1	64800	-0.4059	-0.3493	2
chr1	65000	-0.2789	-0.3493	2
chr1	65200	-0.3972	-0.3493	2
chr1	65400	-0.2518	-0.3493	2
chr1	65600	-0.2145	-0.3493	2
chr1	65800	-0.2604	-0.3493	2
chr1	66000	-0.2225	-0.3493	2
chr1	66200	-0.3149	-0.3493	2
chr1	66400	-0.2859	-0.3493	2
chr1	66600	-0.1932	-0.3493	2
chr1	66800	-0.2482	-0.3493	2
chr1	67000	-0.3493	-0.3493	2
chr1	67200	-0.5254	-0.3493	2
chr1	67400	-0.4299	-0.3493	2
chr1	67600	-0.255	-0.3493	2
chr1	67800	-0.318	-0.3493	2
chr1	68000	-0.2754	-0.3493	2
chr1	68200	-0.3562	-0.3493	2
chr1	68400	-0.2752	-0.3493	2
chr1	68600	-0.2674	-0.3493	2
chr1	68800	-0.4582	-0.3493	2
chr1	69000	-0.4655	-0.3493	2
chr1	69200	-0.5544	-0.3493	2
chr1	69400	-0.438	-0.501	2
chr1	69600	-0.4468	-0.501	2
chr1	69800	-0.6213	-0.501	2
chr1	70000	-0.6153	-0.501	2
chr1	70200	-0.373	-0.501	2
chr1	70400	-0.3901	-0.501	2
chr1	70600	-0.3254	-0.501	2
chr1	70800	-0.4528	-0.501	2
chr1	71000	-0.4603	-0.501	2
chr1	71200	-0.4681	-0.501	2
chr1	71400	-0.625	-0.501	2
chr1	71600	-0.4968	-0.501	2
chr1	71800	-0.5967	-0.501	2
chr1	72000	-0.6536	-0.501	2
chr1	72200	-0.4099	-0.501	2
chr1	72400	-0.7632	-0.501	2
chr1	72600	-0.5503	-0.501	2
chr1	72800	-0.5108	-0.501	2
chr1	73000	-0.6682	-0.501	2
chr1	73200	-0.4925	-0.501	2
chr1	73400	-0.5802	-0.501	2
chr1	73600	-0.6371	-0.501	2
chr1	73800	-0.6811	-0.501	2
chr1	74000	-0.5519	-0.501	2
chr1	74200	-0.5884	-0.501	2
chr1	74400	-0.5893	-0.501	2
chr1	74600	-0.6629	-0.501	2
chr1	74800	-0.5973	-0.501	2
chr1	75000	-0.4691	-0.501	2
chr1	75200	-0.5131	-0.501	2
chr1	75400	-0.3623	-0.501	2
chr1	75600	-0.5892	-0.501	2
chr1	75800	-0.3962	-0.501	2
chr1	76000	-0.4019	-0.501	2
chr1	76200	-0.394	-0.501	2
chr1	76400	-0.4649	-0.501	2
chr1	76600	-0.3685	-0.501	2
chr1	76800	-0.3215	-0.501	2
chr1	77000	-0.2808	-0.501	2
chr1	77200	-0.3636	-0.501	2
chr1	77400	-0.3755	-0.501	2
chr1	77600	-0.5376	-0.501	2
chr1	77800	-0.3694	-0.501	2
chr1	78000	-0.3326	-0.501	2
chr1	78200	-0.357	-0.501	2
chr1	78400	-0.3826	-0.501	2
chr1	78600	-0.1631	-0.501	2
chr1	78800	-0.4194	-0.501	2
chr1	79000	-0.3053	-0.501	2
chr1	79200	-0.4624	-0.501	2
chr1	79400	-0.5251	-0.501	2
chr1	79600	-0.5868	-0.501	2
chr1	79800	-0.5469	-0.501	2
chr1	80000	-0.6476	-0.501	2
chr1	80200	-0.6156	-0.501	2
chr1	80400	-0.4946	-0.501	2
chr1	80600	-0.4491	-0.501	2
chr1	80800	-0.501	-0.501	2
chr1	81000	-0.6461	-0.501	2
chr1	81200	-0.5411	-0.501	2
chr1	81400	-0.5459	-0.501	2
chr1	81600	-0.6729	-0.501	2
chr1	81800	-0.5699	-0.501	2
chr1	82000	-0.436	-0.501	2
chr1	82200	-0.5018	-0.501	2
chr1	82400	-0.5664	-0.501	2
chr1	82600	-0.5769	-0.501	2
chr1	82800	-0.4574	-0.501	2
chr1	83000	-0.4117	-0.501	2
chr1	83200	-0.5324	-0.501	2
chr1	83400	-0.5278	-0.501	2
chr1	83600	-0.8037	-0.501	2
chr1	83800	-0.4765	-0.501	2
chr1	84000	-0.5181	-0.501	2
chr1	84200	0.1356	-0.501	2
chr1	84400	1.2281	1.03165	4
chr1	84600	0.8352	1.03165	4
chr1	84800	-0.2795	-0.3305	2
chr1	85000	-0.5426	-0.3305	2
chr1	85200	-0.4446	-0.3305	2
chr1	85400	-0.2532	-0.3305	2
chr1	85600	-0.0498	-0.3305	2
chr1	85800	0.0499	-0.3305	2
chr1	86000	-0.3172	-0.3305	2
chr1	86200	-0.3266	-0.3305	2
chr1	86400	-0.3223	-0.3305	2
chr1	86600	-0.5167	-0.3305	2
chr1	86800	-0.4378	-0.3305	2
chr1	87000	-0.4264	-0.3305	2
chr1	87200	-0.4443	-0.3305	2
chr1	87400	-0.4165	-0.3305	2
chr1	87600	-0.4042	-0.3305	2
chr1	87800	-0.6044	-0.3305	2
chr1	88000	-0.3326	-0.3305	2
chr1	88200	-0.4941	-0.3305	2
chr1	88400	-0.6347	-0.3305	2
chr1	88600	-0.5046	-0.3305	2
chr1	88800	-0.4345	-0.3305	2
chr1	89000	-0.4325	-0.3305	2
chr1	89200	-0.2149	-0.3305	2
chr1	89400	-0.1327	-0.3305	2
chr1	89600	-0.106	-0.3305	2
chr1	89800	-0.2392	-0.3305	2
chr1	90000	-0.3305	-0.3305	2
chr1	90200	-0.2082	-0.3305	2
chr1	90400	-0.2722	-0.3305	2
chr1	90600	-0.2949	-0.3305	2
chr1	90800	-0.4239	-0.3305	2
chr1	91000	-0.4219	-0.3305	2
chr1	91200	-0.4567	-0.3305	2
chr1	91400	-0.3636	-0.3305	2
chr1	91600	-0.3346	-0.3305	2
chr1	91800	-0.0626	-0.3305	2
chr1	92000	-0.3008	-0.3305	2
chr1	92200	-0.3853	-0.3305	2
chr1	92400	-0.4837	-0.3305	2
chr1	92600	-0.2486	-0.3305	2
chr1	92800	-0.2211	-0.3305	2
chr1	93000	-0.172	-0.3305	2
chr1	93200	-0.364	-0.3305	2
chr1	93400	-0.3611	-0.3305	2
chr1	93600	-0.1104	-0.3305	2
chr1	93800	-0.157	-0.3305	2
chr1	94000	-0.3016	-0.3305	2
chr1	94200	-0.2257	-0.3305	2
chr1	94400	-0.1978	-0.3305	2
chr1	94600	1.499	1.29085	4
chr1	94800	1.0827	1.29085	4
chr1	95000	-0.1591	-0.4489	2
chr1	95200	-0.0911	-0.4489	2
chr1	95400	-0.1866	-0.4489	2
chr1	95600	-0.1181	-0.4489	2
chr1	95800	-0.2821	-0.4489	2
chr1	96000	-0.1809	-0.4489	2
chr1	96200	-0.4692	-0.4489	2
chr1	96400	-0.5445	-0.4489	2
chr1	96600	-0.5265	-0.4489	2
chr1	96800	-0.5013	-0.4489	2
chr1	97000	-0.4462	-0.4489	2
chr1	97200	-0.4239	-0.4489	2
chr1	97400	-0.4021	-0.4489	2
chr1	97600	-0.3654	-0.4489	2
chr1	97800	-0.3636	-0.4489	2
chr1	98000	-0.4046	-0.4489	2
chr1	98200	-0.4293	-0.4489	2
chr1	98400	-0.3463	-0.4489	2
chr1	98600	-0.2624	-0.4489	2
chr1	98800	-0.456	-0.4489	2
chr1	99000	-0.3736	-0.4489	2
chr1	99200	-0.5805	-0.4489	2
chr1	99400	-0.5818	-0.4489	2
chr1	99600	-0.4339	-0.4489	2
chr1	99800	-0.5189	-0.4489	2
chr1	1e+05	-0.4622	-0.4489	2
chr1	100200	-0.4073	-0.4489	2
chr1	100400	-0.3654	-0.4489	2
chr1	100600	-0.2865	-0.4489	2
chr1	100800	-0.3596	-0.4489	2
chr1	101000	-0.4489	-0.4489	2
chr1	101200	-0.4647	-0.4489	2
chr1	101400	-0.3492	-0.4489	2
chr1	101600	-0.493	-0.4489	2
chr1	101800	-0.5351	-0.4489	2
chr1	102000	-0.5344	-0.4489	2
chr1	102200	-0.6612	-0.4489	2
chr1	102400	-0.6247	-0.4489	2
chr1	102600	-0.6879	-0.4489	2
chr1	102800	-0.5275	-0.4489	2
chr1	103000	-0.6023	-0.4489	2
chr1	103200	-0.6788	-0.4489	2
chr1	103400	-0.5834	-0.4489	2
chr1	103600	-0.6416	-0.4489	2
chr1	103800	-1.9606	-0.4489	2
chr1	104000	-1.2278	-1.22675	1
chr1	104200	-1.3787	-1.22675	1
chr1	104400	-1.2063	-1.22675	1
chr1	104600	-1.3412	-1.22675	1
chr1	104800	-1.1973	-1.22675	1
chr1	105000	-1.2584	-1.22675	1
chr1	105200	-1.1874	-1.22675	1
chr1	105400	-1.2257	-1.22675	1
chr1	105600	-1.3197	-1.22675	1
chr1	105800	-1.2675	-1.22675	1
chr1	106000	-1.5943	-1.22675	1
chr1	106200	-1.2236	-1.22675	1
chr1	106400	-1.0984	-1.22675	1
chr1	106600	-1.33	-1.22675	1
chr1	106800	-1.3001	-1.22675	1
chr1	107000	-1.1558	-1.22675	1
chr1	107200	-1.3084	-1.22675	1
chr1	107400	-1.1575	-1.22675	1
chr1	107600	-1.1289	-1.22675	1
chr1	107800	-0.9504	-1.22675	1
chr1	108000	-0.394	-0.33595	2
chr1	108200	-0.3369	-0.33595	2
chr1	108400	-0.5096	-0.33595	2
chr1	108600	-0.436	-0.33595	2
chr1	108800	-0.7884	-0.33595	2
chr1	109000	-0.1864	-0.33595	2
chr1	109200	-0.4612	-0.33595	2
chr1	109400	-0.2167	-0.33595	2
chr1	109600	0.04	-0.33595	2
chr1	109800	-0.1988	-0.33595	2
chr1	110000	-0.3733	-0.33595	2
chr1	110200	-0.2176	-0.33595	2
chr1	110400	-0.184	-0.33595	2
chr1	110600	-0.3019	-0.33595	2
chr1	110800	-0.276	-0.33595	2
chr1	111000	-0.504	-0.33595	2
chr1	111200	-0.5086	-0.33595	2
chr1	111400	-0.2964	-0.33595	2
chr1	111600	-0.3889	-0.33595	2
chr1	111800	-0.2108	-0.33595	2
chr1	112000	-0.3804	-0.33595	2
chr1	112200	-0.3943	-0.33595	2
chr1	112400	-0.5981	-0.33595	2
chr1	112600	-0.264	-0.33595	2
chr1	112800	-0.4078	-0.33595	2
chr1	113000	-0.4535	-0.33595	2
chr1	113200	-0.3337	-0.33595	2
chr1	113400	-0.1652	-0.33595	2
chr1	113600	-0.2785	-0.33595	2
chr1	113800	-0.3862	-0.33595	2
chr1	114000	-0.231	-0.33595	2
chr1	114200	-0.3327	-0.33595	2
chr1	114400	-0.2351	-0.33595	2
chr1	114600	-0.4872	-0.33595	2
chr1	114800	-0.3964	-0.33595	2
chr1	115000	-0.4518	-0.33595	2
chr1	115200	-0.2779	-0.33595	2
chr1	115400	-0.1996	-0.33595	2
chr1	115600	-0.3657	-0.33595	2
chr1	115800	-0.4558	-0.33595	2
chr1	116000	-0.4321	-0.33595	2
chr1	116200	-0.4534	-0.33595	2
chr1	116400	-0.4439	-0.33595	2
chr1	116600	-0.2814	-0.33595	2
chr1	116800	-0.2911	-0.33595	2
chr1	117000	2e-04	-0.33595	2
chr1	117200	-0.335	-0.33595	2
chr1	117400	-0.3039	-0.33595	2
chr1	117600	-0.2545	-0.33595	2
chr1	117800	-0.3177	-0.33595	2
chr1	118000	-0.4323	-0.33595	2
chr1	118200	-0.2483	-0.33595	2
chr1	118400	-0.4034	-0.33595	2
chr1	118600	-0.4154	-0.33595	2
chr1	118800	-0.3623	-0.33595	2
chr1	119000	-0.2489	-0.33595	2
chr1	119200	-0.2886	-0.33595	2
chr1	119400	-0.6884	-0.33595	2
chr1	119600	-0.3645	-0.33595	2
chr1	119800	-0.361	-0.33595	2
chr1	120000	-0.3186	-0.33595	2
chr1	120200	-0.2036	-0.33595	2
chr1	120400	0.8558	0.644	3
chr1	120600	0.4322	0.644	3
chr1	120800	-0.9216	-0.6131	2
chr1	121000	-0.6131	-0.6131	2
chr1	121200	10.9156	-0.6131	2
chr1	121400	NA	NA	NA
chr1	121600	NA	NA	NA
chr1	121800	NA	NA	NA
chr1	122000	NA	NA	NA
chr1	122200	NA	NA	NA
chr1	122400	NA	NA	NA
chr1	122600	NA	NA	NA
chr1	122800	NA	NA	NA
chr1	123000	NA	NA	NA
chr1	123200	NA	NA	NA
chr1	123400	NA	NA	NA
chr1	123600	NA	NA	NA
chr1	123800	NA	NA	NA
chr1	124000	NA	NA	NA
chr1	124200	NA	NA	NA
chr1	124400	NA	NA	NA
chr1	124600	NA	NA	NA
chr1	124800	NA	NA	NA
chr1	125000	NA	NA	NA
chr1	125200	NA	NA	NA
chr1	125400	NA	NA	NA
chr1	125600	NA	NA	NA
chr1	125800	NA	NA	NA
chr1	126000	NA	NA	NA
chr1	126200	NA	NA	NA
chr1	126400	NA	NA	NA
chr1	126600	NA	NA	NA
chr1	126800	NA	NA	NA
chr1	127000	NA	NA	NA
chr1	127200	NA	NA	NA
chr1	127400	NA	NA	NA
chr1	127600	NA	NA	NA
chr1	127800	NA	NA	NA
chr1	128000	NA	NA	NA
chr1	128200	NA	NA	NA
chr1	128400	NA	NA	NA
chr1	128600	NA	NA	NA
chr1	128800	NA	NA	NA
chr1	129000	NA	NA	NA
chr1	129200	NA	NA	NA
chr1	129400	NA	NA	NA
chr1	129600	NA	NA	NA
chr1	129800	NA	NA	NA
chr1	130000	NA	NA	NA
chr1	130200	NA	NA	NA
chr1	130400	NA	NA	NA
chr1	130600	NA	NA	NA
chr1	130800	NA	NA	NA
chr1	131000	NA	NA	NA
chr1	131200	NA	NA	NA
chr1	131400	NA	NA	NA
chr1	131600	NA	NA	NA
chr1	131800	NA	NA	NA
chr1	132000	NA	NA	NA
chr1	132200	NA	NA	NA
chr1	132400	NA	NA	NA
chr1	132600	NA	NA	NA
chr1	132800	NA	NA	NA
chr1	133000	NA	NA	NA
chr1	133200	NA	NA	NA
chr1	133400	NA	NA	NA
chr1	133600	NA	NA	NA
chr1	133800	NA	NA	NA
chr1	134000	NA	NA	NA
chr1	134200	NA	NA	NA
chr1	134400	NA	NA	NA
chr1	134600	NA	NA	NA
chr1	134800	NA	NA	NA
chr1	135000	NA	NA	NA
chr1	135200	NA	NA	NA
chr1	135400	NA	NA	NA
chr1	135600	NA	NA	NA
chr1	135800	NA	NA	NA
chr1	136000	NA	NA	NA
chr1	136200	NA	NA	NA
chr1	136400	NA	NA	NA
chr1	136600	NA	NA	NA
chr1	136800	NA	NA	NA
chr1	137000	NA	NA	NA
chr1	137200	NA	NA	NA
chr1	137400	NA	NA	NA
chr1	137600	NA	NA	NA
chr1	137800	NA	NA	NA
chr1	138000	NA	NA	NA
chr1	138200	NA	NA	NA
chr1	138400	NA	NA	NA
chr1	138600	NA	NA	NA
chr1	138800	NA	NA	NA
chr1	139000	NA	NA	NA
chr1	139200	NA	NA	NA
chr1	139400	NA	NA	NA
chr1	139600	NA	NA	NA
chr1	139800	NA	NA	NA
chr1	140000	NA	NA	NA
